дойдат,doydat,come,Transliteration: doydat<br><br>Translation: come
наши,nashi,ours,Transliteration: nashi<br><br>Translation: ours
причастието,prichastieto,communion,Transliteration: prichastieto<br><br>Translation: communion
Затова,Zatova,Therefore,Transliteration: Zatova<br><br>Translation: Therefore
благословия,blagosloviya,blessing,Transliteration: blagosloviya<br><br>Translation: blessing
Някои,Nyakoi,Some,Transliteration: Nyakoi<br><br>Translation: Some
включително,vklyuchitelno,including,Transliteration: vklyuchitelno<br><br>Translation: including
Всеки,Vseki,Each,Transliteration: Vseki<br><br>Translation: Each
особено,osobeno,especially,Transliteration: osobeno<br><br>Translation: especially
спасение,spasenie,salvation,Transliteration: spasenie<br><br>Translation: salvation
жените,zhenite,women's,Transliteration: zhenite<br><br>Translation: women's
ученията,ucheniyata,teachings,Transliteration: ucheniyata<br><br>Translation: teachings
важни,vazhni,important,Transliteration: vazhni<br><br>Translation: important
Божий,Bozhiy,God's,Transliteration: Bozhiy<br><br>Translation: God's
верни,verni,loyal,Transliteration: verni<br><br>Translation: loyal
свидетелства,svidetelstva,evidence,Transliteration: svidetelstva<br><br>Translation: evidence
заявява,zayavyava,states,Transliteration: zayavyava<br><br>Translation: states
делото,deloto,case,Transliteration: deloto<br><br>Translation: case
сили,sili,strength,Transliteration: sili<br><br>Translation: strength
Божието,Bozhieto,God's,Transliteration: Bozhieto<br><br>Translation: God's
някой,nyakoy,somebody,Transliteration: nyakoy<br><br>Translation: somebody
Моисей,Moisey,Moses,Transliteration: Moisey<br><br>Translation: Moses
думите,dumite,the words,Transliteration: dumite<br><br>Translation: the words
моменти,momenti,moments,Transliteration: momenti<br><br>Translation: moments
правят,pravyat,do,Transliteration: pravyat<br><br>Translation: do
обещание,obeshtanie,promise,Transliteration: obeshtanie<br><br>Translation: promise
трудно,trudno,hard,Transliteration: trudno<br><br>Translation: hard
отговори,otgovori,replied,Transliteration: otgovori<br><br>Translation: replied
Много,Mnogo,Many,Transliteration: Mnogo<br><br>Translation: Many
святото,svyatoto,holy,Transliteration: svyatoto<br><br>Translation: holy
училище,uchilishte,school,Transliteration: uchilishte<br><br>Translation: school
слава,slava,glory,Transliteration: slava<br><br>Translation: glory
изпитания,izpitaniya,trial,Transliteration: izpitaniya<br><br>Translation: trial
младежите,mladezhite,youth,Transliteration: mladezhite<br><br>Translation: youth
начини,nachini,ways,Transliteration: nachini<br><br>Translation: ways
възможност,vazmozhnost,possibility,Transliteration: vazmozhnost<br><br>Translation: possibility
Сатана,Satana,Satan,Transliteration: Satana<br><br>Translation: Satan
против,protiv,against,Transliteration: protiv<br><br>Translation: against
способността,sposobnostta,capacity,Transliteration: sposobnostta<br><br>Translation: capacity
случва,sluchva,happening,Transliteration: sluchva<br><br>Translation: happening
крайна,krayna,ultimate,Transliteration: krayna<br><br>Translation: ultimate
служи,sluzhi,serve,Transliteration: sluzhi<br><br>Translation: serve
достойни,dostoyni,worthy,Transliteration: dostoyni<br><br>Translation: worthy
ръка,raka,hand,Transliteration: raka<br><br>Translation: hand
Мене,Mene,Me,Transliteration: Mene<br><br>Translation: Me
страни,strani,sides,Transliteration: strani<br><br>Translation: sides
вижда,vizhda,see,Transliteration: vizhda<br><br>Translation: see
Една,Edna,One,Transliteration: Edna<br><br>Translation: One
същия,sashtiya,the same,Transliteration: sashtiya<br><br>Translation: the same
чувства,chuvstva,feelings,Transliteration: chuvstva<br><br>Translation: feelings
обстоятелства,obstoyatelstva,circumstances,Transliteration: obstoyatelstva<br><br>Translation: circumstances
три,tri,three,Transliteration: tri<br><br>Translation: three
получи,poluchi,obtained,Transliteration: poluchi<br><br>Translation: obtained
отколкото,otkolkoto,than,Transliteration: otkolkoto<br><br>Translation: than
събрания,sabraniya,meetings,Transliteration: sabraniya<br><br>Translation: meetings
времена,vremena,time,Transliteration: vremena<br><br>Translation: time
власт,vlast,power,Transliteration: vlast<br><br>Translation: power
вид,vid,appearance,Transliteration: vid<br><br>Translation: appearance
познава,poznava,know,Transliteration: poznava<br><br>Translation: know
изучаване,izuchavane,study,Transliteration: izuchavane<br><br>Translation: study
Своята,Svoyata,Its,Transliteration: Svoyata<br><br>Translation: Its
вършим,varshim,do,Transliteration: varshim<br><br>Translation: do
Петър,Petar,Peter,Transliteration: Petar<br><br>Translation: Peter
животът,zhivotat,life,Transliteration: zhivotat<br><br>Translation: life
избираме,izbirame,choose,Transliteration: izbirame<br><br>Translation: choose
сами,sami,alone,Transliteration: sami<br><br>Translation: alone
Тогава,Togava,Then,Transliteration: Togava<br><br>Translation: Then
търсим,tarsim,seek,Transliteration: tarsim<br><br>Translation: seek
почти,pochti,almost,Transliteration: pochti<br><br>Translation: almost
продължава,prodalzhava,continues,Transliteration: prodalzhava<br><br>Translation: continues
служат,sluzhat,serve,Transliteration: sluzhat<br><br>Translation: serve
места,mesta,places,Transliteration: mesta<br><br>Translation: places
чувстваме,chuvstvame,we feel,Transliteration: chuvstvame<br><br>Translation: we feel
трудностите,trudnostite,the difficulties,Transliteration: trudnostite<br><br>Translation: the difficulties
сигурност,sigurnost,security,Transliteration: sigurnost<br><br>Translation: security
вечността,vechnostta,eternity,Transliteration: vechnostta<br><br>Translation: eternity
иска,iska,want,Transliteration: iska<br><br>Translation: want
църква,tsarkva,church,Transliteration: tsarkva<br><br>Translation: church
душата,dushata,the soul,Transliteration: dushata<br><br>Translation: the soul
влияние,vliyanie,influence,Transliteration: vliyanie<br><br>Translation: influence
моя,moya,my,Transliteration: moya<br><br>Translation: my
Небесният,Nebesniyat,Heavenly,Transliteration: Nebesniyat<br><br>Translation: Heavenly
бяхме,byahme,We were,Transliteration: byahme<br><br>Translation: We were
важно,vazhno,important,Transliteration: vazhno<br><br>Translation: important
Дори,Dori,Even,Transliteration: Dori<br><br>Translation: Even
покана,pokana,invitation,Transliteration: pokana<br><br>Translation: invitation
ръцете,ratsete,arms,Transliteration: ratsete<br><br>Translation: arms
покайваме,pokayvame,repent,Transliteration: pokayvame<br><br>Translation: repent
започва,zapochva,begins,Transliteration: zapochva<br><br>Translation: begins
земя,zemya,land,Transliteration: zemya<br><br>Translation: land
отговорност,otgovornost,responsibility,Transliteration: otgovornost<br><br>Translation: responsibility
Скъпи,Skapi,Dear,Transliteration: Skapi<br><br>Translation: Dear
състояние,sastoyanie,condition,Transliteration: sastoyanie<br><br>Translation: condition
Нашият,Nashiyat,Ours,Transliteration: Nashiyat<br><br>Translation: Ours
дете,dete,kid,Transliteration: dete<br><br>Translation: kid
бъда,bada,be,Transliteration: bada<br><br>Translation: be
Господната,Gospodnata,The Lord's,Transliteration: Gospodnata<br><br>Translation: The Lord's
изисква,iziskva,requires,Transliteration: iziskva<br><br>Translation: requires
стане,stane,become,Transliteration: stane<br><br>Translation: become
правите,pravite,you make,Transliteration: pravite<br><br>Translation: you make
ясно,yasno,clearly,Transliteration: yasno<br><br>Translation: clearly
млад,mlad,young,Transliteration: mlad<br><br>Translation: young
под,pod,under,Transliteration: pod<br><br>Translation: under
желанието,zhelanieto,desire,Transliteration: zhelanieto<br><br>Translation: desire
вечна,vechna,eternal,Transliteration: vechna<br><br>Translation: eternal
семействата,semeystvata,families,Transliteration: semeystvata<br><br>Translation: families
Изкупител,Izkupitel,Redemptive,Transliteration: Izkupitel<br><br>Translation: Redemptive
идват,idvat,come,Transliteration: idvat<br><br>Translation: come
по-добри,po-dobri,better,Transliteration: po-dobri<br><br>Translation: better
служители,sluzhiteli,employees,Transliteration: sluzhiteli<br><br>Translation: employees
основа,osnova,basis,Transliteration: osnova<br><br>Translation: basis
изключително,izklyuchitelno,exclusively,Transliteration: izklyuchitelno<br><br>Translation: exclusively
Негови,Negovi,His,Transliteration: Negovi<br><br>Translation: His
по-подобни,po-podobni,more like,Transliteration: po-podobni<br><br>Translation: more like
последователи,posledovateli,followers,Transliteration: posledovateli<br><br>Translation: followers
Господния,Gospodniya,Lord,Transliteration: Gospodniya<br><br>Translation: Lord
живеят,zhiveyat,live,Transliteration: zhiveyat<br><br>Translation: live
Има,Ima,Have,Transliteration: Ima<br><br>Translation: Have
душите,dushite,the souls,Transliteration: dushite<br><br>Translation: the souls
неделя,nedelya,Sunday,Transliteration: nedelya<br><br>Translation: Sunday
дар,dar,gift,Transliteration: dar<br><br>Translation: gift
Неговият,Negoviyat,His,Transliteration: Negoviyat<br><br>Translation: His
мои,moi,mine,Transliteration: moi<br><br>Translation: mine
независимо,nezavisimo,independently,Transliteration: nezavisimo<br><br>Translation: independently
чедата,chedata,children,Transliteration: chedata<br><br>Translation: children
дела,dela,deeds,Transliteration: dela<br><br>Translation: deeds
вашето,vasheto,your,Transliteration: vasheto<br><br>Translation: your
Павел,Pavel,Paul,Transliteration: Pavel<br><br>Translation: Paul
начина,nachina,way,Transliteration: nachina<br><br>Translation: way
същност,sashtnost,nature,Transliteration: sashtnost<br><br>Translation: nature
Ми,Mi,Me,Transliteration: Mi<br><br>Translation: Me
При,Pri,At,Transliteration: Pri<br><br>Translation: At
друго,drugo,something else,Transliteration: drugo<br><br>Translation: something else
достатъчно,dostatachno,enough,Transliteration: dostatachno<br><br>Translation: enough
включва,vklyuchva,includes,Transliteration: vklyuchva<br><br>Translation: includes
Своето,Svoeto,Its,Transliteration: Svoeto<br><br>Translation: Its
срещу,sreshtu,against,Transliteration: sreshtu<br><br>Translation: against
дванадесетте,dvanadesette,twelve,Transliteration: dvanadesette<br><br>Translation: twelve
м,m,m,Transliteration: m<br><br>Translation: m
два,dva,two,Transliteration: dva<br><br>Translation: two
Светият,Svetiyat,The holy,Transliteration: Svetiyat<br><br>Translation: The holy
вместо,vmesto,instead,Transliteration: vmesto<br><br>Translation: instead
учение,uchenie,teaching,Transliteration: uchenie<br><br>Translation: teaching
син,sin,son,Transliteration: sin<br><br>Translation: son
твърде,tvarde,too,Transliteration: tvarde<br><br>Translation: too
страдания,stradaniya,suffering,Transliteration: stradaniya<br><br>Translation: suffering
грехове,grehove,sins,Transliteration: grehove<br><br>Translation: sins
жив,zhiv,alive,Transliteration: zhiv<br><br>Translation: alive
словото,slovoto,word,Transliteration: slovoto<br><br>Translation: word
Старейшина,Stareyshina,Elder,Transliteration: Stareyshina<br><br>Translation: Elder
живее,zhivee,live,Transliteration: zhivee<br><br>Translation: live
принцип,printsip,principle,Transliteration: printsip<br><br>Translation: principle
Ти,Ti,You,Transliteration: Ti<br><br>Translation: You
Мороний,Moroniy,Moronius,Transliteration: Moroniy<br><br>Translation: Moronius
преживяване,prezhivyavane,experience,Transliteration: prezhivyavane<br><br>Translation: experience
младите,mladite,the young,Transliteration: mladite<br><br>Translation: the young
благословени,blagosloveni,blessed,Transliteration: blagosloveni<br><br>Translation: blessed
елате,elate,come,Transliteration: elate<br><br>Translation: come
вашия,vashiya,your,Transliteration: vashiya<br><br>Translation: your
любящ,lyubyasht,loving,Transliteration: lyubyasht<br><br>Translation: loving
съпругата,saprugata,wife,Transliteration: saprugata<br><br>Translation: wife
ума,uma,mind,Transliteration: uma<br><br>Translation: mind
станем,stanem,we become,Transliteration: stanem<br><br>Translation: we become
двете,dvete,the two,Transliteration: dvete<br><br>Translation: the two
виждаме,vizhdame,we see,Transliteration: vizhdame<br><br>Translation: we see
дълбоко,dalboko,deeply,Transliteration: dalboko<br><br>Translation: deeply
избор,izbor,choice,Transliteration: izbor<br><br>Translation: choice
нови,novi,new,Transliteration: novi<br><br>Translation: new
Йоан,Yoan,John,Transliteration: Yoan<br><br>Translation: John
влиянието,vliyanieto,influence,Transliteration: vliyanieto<br><br>Translation: influence
моли,moli,Molly,Transliteration: moli<br><br>Translation: Molly
ето,eto,here,Transliteration: eto<br><br>Translation: here
воля,volya,will,Transliteration: volya<br><br>Translation: will
Понякога,Ponyakoga,Sometimes,Transliteration: Ponyakoga<br><br>Translation: Sometimes
резултат,rezultat,result,Transliteration: rezultat<br><br>Translation: result
волята,volyata,willpower,Transliteration: volyata<br><br>Translation: willpower
събирането,sabiraneto,gathering,Transliteration: sabiraneto<br><br>Translation: gathering
изпълнени,izpalneni,implemented,Transliteration: izpalneni<br><br>Translation: implemented
връзка,vrazka,connection,Transliteration: vrazka<br><br>Translation: connection
малки,malki,small,Transliteration: malki<br><br>Translation: small
Няма,Nyama,There is no,Transliteration: Nyama<br><br>Translation: There is no
учат,uchat,teach,Transliteration: uchat<br><br>Translation: teach
заповедите,zapovedite,orders,Transliteration: zapovedite<br><br>Translation: orders
искрено,iskreno,sincerely,Transliteration: iskreno<br><br>Translation: sincerely
Така,Taka,So,Transliteration: Taka<br><br>Translation: So
приятел,priyatel,friend,Transliteration: priyatel<br><br>Translation: friend
свещени,sveshteni,sacred,Transliteration: sveshteni<br><br>Translation: sacred
ред,red,order,Transliteration: red<br><br>Translation: order
променя,promenya,alter,Transliteration: promenya<br><br>Translation: alter
родителите,roditelite,the parents,Transliteration: roditelite<br><br>Translation: the parents
разбира,razbira,understand,Transliteration: razbira<br><br>Translation: understand
действия,deystviya,actions,Transliteration: deystviya<br><br>Translation: actions
внимание,vnimanie,attention,Transliteration: vnimanie<br><br>Translation: attention
същото,sashtoto,the same,Transliteration: sashtoto<br><br>Translation: the same
следното,slednoto,the following,Transliteration: slednoto<br><br>Translation: the following
храмове,hramove,temples,Transliteration: hramove<br><br>Translation: temples
синове,sinove,sons,Transliteration: sinove<br><br>Translation: sons
противника,protivnika,enemy,Transliteration: protivnika<br><br>Translation: enemy
Младите,Mladite,The young,Transliteration: Mladite<br><br>Translation: The young
вечно,vechno,forever,Transliteration: vechno<br><br>Translation: forever
пророка,proroka,prophet,Transliteration: proroka<br><br>Translation: prophet
взаимоотношения,vzaimootnosheniya,relationship,Transliteration: vzaimootnosheniya<br><br>Translation: relationship
Също,Sashto,Also,Transliteration: Sashto<br><br>Translation: Also
То,To,So,Transliteration: To<br><br>Translation: So
друга,druga,other,Transliteration: druga<br><br>Translation: other
лични,lichni,personal,Transliteration: lichni<br><br>Translation: personal
откровения,otkroveniya,revelations,Transliteration: otkroveniya<br><br>Translation: revelations
божествена,bozhestvena,divine,Transliteration: bozhestvena<br><br>Translation: divine
големи,golemi,large,Transliteration: golemi<br><br>Translation: large
дават,davat,give,Transliteration: davat<br><br>Translation: give
възможности,vazmozhnosti,possibilities,Transliteration: vazmozhnosti<br><br>Translation: possibilities
завесата,zavesata,curtain,Transliteration: zavesata<br><br>Translation: curtain
неговата,negovata,his,Transliteration: negovata<br><br>Translation: his
съпруга,sapruga,wife,Transliteration: sapruga<br><br>Translation: wife
продължение,prodalzhenie,sequel,Transliteration: prodalzhenie<br><br>Translation: sequel
по-добре,po-dobre,better,Transliteration: po-dobre<br><br>Translation: better
Следвайте,Sledvayte,Follow,Transliteration: Sledvayte<br><br>Translation: Follow
спазват,spazvat,respected,Transliteration: spazvat<br><br>Translation: respected
Обаче,Obache,However,Transliteration: Obache<br><br>Translation: However
Първо,Parvo,First,Transliteration: Parvo<br><br>Translation: First
роля,rolya,role,Transliteration: rolya<br><br>Translation: role
подобно,podobno,like,Transliteration: podobno<br><br>Translation: like
милост,milost,mercy,Transliteration: milost<br><br>Translation: mercy
завинаги,zavinagi,forever,Transliteration: zavinagi<br><br>Translation: forever
близки,blizki,close,Transliteration: blizki<br><br>Translation: close
къде,kade,where,Transliteration: kade<br><br>Translation: where
Пророкът,Prorokat,Prophet,Transliteration: Prorokat<br><br>Translation: Prophet
примера,primera,example,Transliteration: primera<br><br>Translation: example
домовете,domovete,homes,Transliteration: domovete<br><br>Translation: homes
всичките,vsichkite,all,Transliteration: vsichkite<br><br>Translation: all
месеца,mesetsa,months,Transliteration: mesetsa<br><br>Translation: months
помогне,pomogne,help,Transliteration: pomogne<br><br>Translation: help
някога,nyakoga,sometime,Transliteration: nyakoga<br><br>Translation: sometime
брак,brak,marriage,Transliteration: brak<br><br>Translation: marriage
храна,hrana,food,Transliteration: hrana<br><br>Translation: food
обещания,obeshtaniya,promises,Transliteration: obeshtaniya<br><br>Translation: promises
свобода,svoboda,freedom,Transliteration: svoboda<br><br>Translation: freedom
гласа,glasa,voice,Transliteration: glasa<br><br>Translation: voice
носи,nosi,carries,Transliteration: nosi<br><br>Translation: carries
намираме,namirame,we find,Transliteration: namirame<br><br>Translation: we find
усилията,usiliyata,effort,Transliteration: usiliyata<br><br>Translation: effort
голямо,golyamo,large,Transliteration: golyamo<br><br>Translation: large
основата,osnovata,base,Transliteration: osnovata<br><br>Translation: base
възможността,vazmozhnostta,possibility,Transliteration: vazmozhnostta<br><br>Translation: possibility
историята,istoriyata,history,Transliteration: istoriyata<br><br>Translation: history
души,dushi,humans,Transliteration: dushi<br><br>Translation: humans
важна,vazhna,important,Transliteration: vazhna<br><br>Translation: important
момента,momenta,moment,Transliteration: momenta<br><br>Translation: moment
пътуване,patuvane,trip,Transliteration: patuvane<br><br>Translation: trip
стана,stana,become,Transliteration: stana<br><br>Translation: become
Днес,Dnes,Today,Transliteration: Dnes<br><br>Translation: Today
Тъй,Tay,As,Transliteration: Tay<br><br>Translation: As
Моята,Moyata,Mine,Transliteration: Moyata<br><br>Translation: Mine
следните,slednite,the following,Transliteration: slednite<br><br>Translation: the following
вечер,vecher,in the evening,Transliteration: vecher<br><br>Translation: in the evening
Духът,Duhat,Spirit,Transliteration: Duhat<br><br>Translation: Spirit
обещава,obeshtava,promises,Transliteration: obeshtava<br><br>Translation: promises
трудни,trudni,tough,Transliteration: trudni<br><br>Translation: tough
грижи,grizhi,care,Transliteration: grizhi<br><br>Translation: care
неговите,negovite,his,Transliteration: negovite<br><br>Translation: his
моите,moite,mine,Transliteration: moite<br><br>Translation: mine
Знам,Znam,Know,Transliteration: Znam<br><br>Translation: Know
разбираме,razbirame,we understand,Transliteration: razbirame<br><br>Translation: we understand
очите,ochite,eyes,Transliteration: ochite<br><br>Translation: eyes
подготвя,podgotvya,prepare,Transliteration: podgotvya<br><br>Translation: prepare
молитви,molitvi,prayers,Transliteration: molitvi<br><br>Translation: prayers
стават,stavat,become,Transliteration: stavat<br><br>Translation: become
мисионерите,misionerite,missionaries,Transliteration: misionerite<br><br>Translation: missionaries
човешки,choveshki,human,Transliteration: choveshki<br><br>Translation: human
Кворума,Kvoruma,Quorum,Transliteration: Kvoruma<br><br>Translation: Quorum
тяхната,tyahnata,their,Transliteration: tyahnata<br><br>Translation: their
моето,moeto,my,Transliteration: moeto<br><br>Translation: my
възстановеното,vazstanovenoto,restored,Transliteration: vazstanovenoto<br><br>Translation: restored
видение,videnie,vision,Transliteration: videnie<br><br>Translation: vision
мнозина,mnozina,many,Transliteration: mnozina<br><br>Translation: many
праведност,pravednost,righteousness,Transliteration: pravednost<br><br>Translation: righteousness
дъщеря,dashterya,daughter,Transliteration: dashterya<br><br>Translation: daughter
утеха,uteha,consolation,Transliteration: uteha<br><br>Translation: consolation
увереност,uverenost,confidence,Transliteration: uverenost<br><br>Translation: confidence
царство,tsarstvo,kingdom,Transliteration: tsarstvo<br><br>Translation: kingdom
Предложено,Predlozheno,Suggested,Transliteration: Predlozheno<br><br>Translation: Suggested
обредите,obredite,ordinance,Transliteration: obredite<br><br>Translation: ordinance
отдаденост,otdadenost,dedication,Transliteration: otdadenost<br><br>Translation: dedication
дъщери,dashteri,daughters,Transliteration: dashteri<br><br>Translation: daughters
позволява,pozvolyava,allows,Transliteration: pozvolyava<br><br>Translation: allows
сърца,sartsa,hearts,Transliteration: sartsa<br><br>Translation: hearts
подготовка,podgotovka,preparation,Transliteration: podgotovka<br><br>Translation: preparation
Освен,Osven,Besides,Transliteration: Osven<br><br>Translation: Besides
хиляди,hilyadi,thousands,Transliteration: hilyadi<br><br>Translation: thousands
щати,shtati,state,Transliteration: shtati<br><br>Translation: state
онзи,onzi,that,Transliteration: onzi<br><br>Translation: that
Господен,Gospoden,Lord,Transliteration: Gospoden<br><br>Translation: Lord
чувствате,chuvstvate,you feel,Transliteration: chuvstvate<br><br>Translation: you feel
епископ,episkop,bishop,Transliteration: episkop<br><br>Translation: bishop
района,rayona,region,Transliteration: rayona<br><br>Translation: region
общата,obshtata,common,Transliteration: obshtata<br><br>Translation: common
дух,duh,spirit,Transliteration: duh<br><br>Translation: spirit
продължаваме,prodalzhavame,continue,Transliteration: prodalzhavame<br><br>Translation: continue
следва,sledva,followed,Transliteration: sledva<br><br>Translation: followed
получим,poluchim,get,Transliteration: poluchim<br><br>Translation: get
слова,slova,words,Transliteration: slova<br><br>Translation: words
биват,bivat,are,Transliteration: bivat<br><br>Translation: are
обяснява,obyasnyava,explain,Transliteration: obyasnyava<br><br>Translation: explain
пришествие,prishestvie,coming,Transliteration: prishestvie<br><br>Translation: coming
спасението,spasenieto,salvation,Transliteration: spasenieto<br><br>Translation: salvation
приемат,priemat,accepted,Transliteration: priemat<br><br>Translation: accepted
ръце,ratse,arms,Transliteration: ratse<br><br>Translation: arms
пъти,pati,times,Transliteration: pati<br><br>Translation: times
седмица,sedmitsa,week,Transliteration: sedmitsa<br><br>Translation: week
дара,dara,gift,Transliteration: dara<br><br>Translation: gift
Поради,Poradi,Due to,Transliteration: Poradi<br><br>Translation: Due to
божествено,bozhestveno,divinely,Transliteration: bozhestveno<br><br>Translation: divinely
отговаря,otgovarya,in charge,Transliteration: otgovarya<br><br>Translation: in charge
благодат,blagodat,grace,Transliteration: blagodat<br><br>Translation: grace
колкото,kolkoto,as much as,Transliteration: kolkoto<br><br>Translation: as much as
кол,kol,stake,Transliteration: kol<br><br>Translation: stake
отвъд,otvad,beyond,Transliteration: otvad<br><br>Translation: beyond
опит,opit,attempt,Transliteration: opit<br><br>Translation: attempt
подобни,podobni,similar,Transliteration: podobni<br><br>Translation: similar
изцеление,iztselenie,healing,Transliteration: iztselenie<br><br>Translation: healing
Без,Bez,Without,Transliteration: Bez<br><br>Translation: Without
надделява,naddelyava,prevail,Transliteration: naddelyava<br><br>Translation: prevail
нужно,nuzhno,necessary,Transliteration: nuzhno<br><br>Translation: necessary
мисли,misli,think,Transliteration: misli<br><br>Translation: think
процес,protses,process,Transliteration: protses<br><br>Translation: process
по-малко,po-malko,less,Transliteration: po-malko<br><br>Translation: less
споделяме,spodelyame,share,Transliteration: spodelyame<br><br>Translation: share
получава,poluchava,gets,Transliteration: poluchava<br><br>Translation: gets
изглежда,izglezhda,seems,Transliteration: izglezhda<br><br>Translation: seems
описва,opisva,describes,Transliteration: opisva<br><br>Translation: describes
подкрепим,podkrepim,supportive,Transliteration: podkrepim<br><br>Translation: supportive
смирено,smireno,humbly,Transliteration: smireno<br><br>Translation: humbly
тъкмо,takmo,just,Transliteration: takmo<br><br>Translation: just
Сион,Sion,Sion,Transliteration: Sion<br><br>Translation: Sion
събития,sabitiya,events,Transliteration: sabitiya<br><br>Translation: events
истински,istinski,real,Transliteration: istinski<br><br>Translation: real
апостол,apostol,apostle,Transliteration: apostol<br><br>Translation: apostle
следват,sledvat,followed,Transliteration: sledvat<br><br>Translation: followed
лесно,lesno,easily,Transliteration: lesno<br><br>Translation: easily
състрадание,sastradanie,compassion,Transliteration: sastradanie<br><br>Translation: compassion
бих,bih,would,Transliteration: bih<br><br>Translation: would
казал,kazal,said,Transliteration: kazal<br><br>Translation: said
чудеса,chudesa,wonders,Transliteration: chudesa<br><br>Translation: wonders
първата,parvata,first,Transliteration: parvata<br><br>Translation: first
кои,koi,which,Transliteration: koi<br><br>Translation: which
душа,dusha,soul,Transliteration: dusha<br><br>Translation: soul
Лейк,Leyk,Lake,Transliteration: Leyk<br><br>Translation: Lake
заповед,zapoved,order,Transliteration: zapoved<br><br>Translation: order
действа,deystva,act,Transliteration: deystva<br><br>Translation: act
бива,biva,be,Transliteration: biva<br><br>Translation: be
покаянието,pokayanieto,repentance,Transliteration: pokayanieto<br><br>Translation: repentance
могли,mogli,could,Transliteration: mogli<br><br>Translation: could
